"Country","Metro","PopulationGrowth","Population","GDP","Percent"
"United States","Allen",112.821283549299,389307,46958,0.125856132830306
"United States","Boston",109.940720994107,4147945,71607,1.3409579506477
"United Kingdom","Coventry",118.631717055398,673583,37855,1.07755694270695
"Germany","Gottingen",91.8069488524904,477749,32796,0.584028810925854
"Canada","Winnipeg",120.623274514889,804582,33248,2.36607665365874
"United States","Orange",152.498569013874,2139227,48623,0.691574611980202
"United States","St. Louis",104.399635312441,2585260,51577,0.835769266827661
"United States","Winnebago (IL)",103.872486689004,349184,43154,0.11288506984518
"United States","Tampa-Hillsborough",143.567924464087,1233511,53837,0.398772496419647
"United Kingdom","Preston",108.365447399081,247677,46497,0.39621853713474
"Germany","Bonn",105.432165020659,918487,48957,1.12281317273475
"United States","New Orleans",94.6870439686919,1173317,45070,0.379312830758388
"United States","St. Joseph",102.332562466573,266799,42147,0.0862514426480715
"Canada","Toronto",131.552696893497,6617633,45279,19.4608218227373
"United Kingdom","Brighton and Hove",114.06882137792,427790,31113,0.684352313702404
"Poland","Czestochowa",93.6806609902479,406892,15037,1.07012353081959
"United States","Greene",122.440384118157,507089,35512,0.163932990007339
"United States","Genesee",92.5026904766248,424959,37516,0.137381799842885
"United States","Seattle",128.609081300658,3449355,67511,1.11511604224655
"United States","Los Angeles (Greater)",112.187441311067,17080388,49229,5.52179020906678
"Germany","Schweinfurt",97.1941173317132,271491,40228,0.33188675624035
"United States","Tampa-Pinellas",119.344160723775,1381944,36800,0.446758284921782
"United States","Mahoning",88.8001168480245,448153,36314,0.144880013707177
"United States","Kent",112.000646658594,666309,51537,0.215406026632011
"United Kingdom","Swansea",109.072414438734,376949,27368,0.603019987138099
"United States","Denver",132.276083361106,2554588,62854,0.825853546570458
"Germany","Trier",109.520851031457,245644,33235,0.300289845151053
"United States","Summit",99.313199425585,541659,44912,0.175108865375476
"United States","Webb",137.643796568758,258271,34666,0.0834944896501114
"United States","Memphis",110.689684740046,1286488,51390,0.415899032415534
"Poland","Bielsko-Biala",103.029355218227,354139,17494,0.931383455759556
"United States","Roanoke",108.327836240748,308602,48014,0.0997656202012757
"United Kingdom","Leeds",111.680886863278,2508648,32358,4.01318184872229
"Germany","Kassel",99.4132376489587,432865,41489,0.529159938045752
"Australia","Greater Adelaide",118.507568775773,1253097,36961,5.68767418004884
"United States","Dane",124.033432258276,546101,58566,0.176544886156074
"United States","Worcester",108.948373052938,800404,43613,0.258756590921581
"United States","Miami (Greater)",120.71242879681,5730372,45987,1.85252887720762
"United States","Madison",132.33552503046,336114,52468,0.108659767818522
"United States","Austin",168.41519233256,1738015,54814,0.561869801213602
"United States","Kalamazoo",110.601049650117,250754,46353,0.0810643752404413
"United Kingdom","Colchester",115.755143851461,310737,25520,0.497098073594389
"United States","Thurston",135.734377795287,313744,36503,0.101427938718573
"Germany","Aschaffenburg",100.196485772875,371048,43049,0.453591158194818
"United States","Atlantic City",103.095367506462,274654,53549,0.0887908265363192
"Germany","Neubrandenburg",84.5095685977797,273423,26934,0.334248548023711
"United States","Stark",98.2581269298559,375348,38626,0.12134343267804
"United States","Sedgwick",111.767329972257,589158,47450,0.190464459940451
"United Kingdom","Sheffield",111.341363044379,1130404,27503,1.80835127707158
"Germany","Wurzburg",99.8284927094599,509307,40635,0.622607188306441
"Germany","Mainz",113.453703996876,401364,52743,0.490651240857531
"United States","St. Lucie",165.305176384039,278290,27461,0.0899662816372318
"Canada","Kitchener",128.975406003554,542663,43485,1.59583765869037
"Germany","Flensburg",102.62841818058,283678,33102,0.346784870352056
"United States","Rochester (NY)",99.6432934335599,852665,53766,0.275651656661074
"Germany","Dusseldorf",102.311843424551,1523842,63281,1.86283515255683
"United States","Indianapolis",123.101610098989,1877453,57339,0.606947663799151
"United States","Dauphin",112.795278906497,574737,53660,0.185802403281964
"United States","Vanderburgh",105.803005393207,345354,48777,0.111646897942954
"Germany","Kiel",102.098497424765,642152,38394,0.785004822602787
"United States","New Haven",104.611451954637,1782769,70033,0.576337985368235
"Germany","Freiburg im Breisgau",110.276671897846,630133,39439,0.770312081689635
"United States","Escambia",120.267661328236,450993,34440,0.145798135953215
"United States","Washington (Greater)",120.53866275168,8439191,63503,2.72824260410504
"Germany","Halle an der Saale",91.0930869796767,431738,32032,0.527782226172125
"United States","Spokane",122.938640266875,495624,39759,0.160226556362684
"United States","Santa Barbara",110.492008215019,424218,46207,0.137142247524464
"United States","Oklahoma",127.226779482856,1220446,43047,0.394548810805394
"United States","Onondaga",99.6898710152344,663132,49010,0.214378958189877
"Canada","Vancouver",130.448972216559,2338763,38192,6.87772350455375
"United States","Ventura",110.110227223816,825144,49196,0.266754599501498
"United States","Tulsa",114.823937600148,981182,42889,0.317198951271632
"Germany","Heilbronn",106.51667660604,452208,49773,0.552805972448207
